8.795,0.490811,-0.011971,9.32781,0
9.186,0.624887,0.0383072,9.26556,0
9.47,0.533907,0.0670376,9.19134,0
9.752,0.612916,0.110133,9.22486,0
10.036,0.555455,0.122104,9.29429,0
10.318,0.593762,0.0742203,9.26077,0
10.606,0.553061,0.00718261,9.22725,0
10.89,0.579397,0.100556,9.24401,0
11.175,0.550666,0.0550666,9.21768,0
11.464,0.54109,0.0957681,9.24162,0
11.75,0.620098,0.102951,9.29668,0
12.036,0.624887,0.0622493,9.26796,0
12.322,0.572214,0.0550666,9.23444,0
12.606,0.584185,0.0023942,9.2081,0
12.892,0.536301,0.0167594,9.15543,0
13.28,0.543484,0.102951,9.27993,0
13.564,0.531513,0.0909797,9.32781,0
13.85,0.533907,0.071826,9.165,0
14.134,0.533907,0.0263362,9.25359,0
14.426,0.553061,0.047884,9.30626,0
14.715,5.94959,3.32315,8.86333,0
15.007,-8.67419,0.0814029,7.95115,0
15.291,-7.48667,-0.605733,3.72538,0
15.578,-7.10839,0.263362,2.01352,0
15.864,-8.99262,0.766145,-3.33991,1
16.15,-9.39724,1.1133,1.88424,1
16.441,3.89537,-0.517148,7.46512,0
16.731,9.28711,-1.72861,-3.45483,0
17.018,7.22091,-0.126893,-7.88171,0
17.31,8.02297,-4.11563,-1.56102,0
17.702,5.93762,-11.078,-1.65439,1
17.988,8.72447,-1.00556,4.46279,0
18.277,7.2664,6.51223,3.50272,0
18.568,5.14514,1.70946,4.99909,0
18.856,0.672771,1.38864,12.0404,0
19.147,1.34075,1.75256,18.2702,0
19.441,0.610522,0.19393,9.21768,0
19.733,0.581791,0.11971,9.2488,0
20.022,0.536301,0.0861913,9.20092,0
20.314,0.565032,0.0694318,9.21768,0
20.604,0.543484,0.107739,9.38288,0
20.895,0.519542,0.0694318,9.22247,0
21.186,0.584185,0.107739,9.34936,0
21.474,0.474052,0.0646434,9.13627,0
21.761,0.526724,0.0766145,9.24162,0
22.155,0.574608,0.047884,9.26077,0
22.447,0.548272,0.126893,9.28711,0
22.742,0.550666,0.124499,9.23683,0
23.033,0.581791,0.071826,9.35654,0
23.327,0.383072,-0.126893,9.31584,0
